distrito,mean_meters,advertised_rent_time,advertised_sell_time,size_rent,size_sell,€/meter_rent,€/meter_sell,apartments,RB,PER,change_2014_2024_sell,change_2014_2024_rent,change_2021_2024_sell,change_2021_2024_rent,sell,rent,revaluation,PER_adjusted,norm_revaluation,norm_RB,inverse_PER,norm_PER
pozuelo-de-alarcon,80.0,1.33125,1.7059895833333334,16.0,32.0,20.586689342121687,5143.408645779784,30959,4.803045783814186,20.820122168518697,0.0563382275339276,0.0655924212437986,0.203130520232566,0.239843899942422,411472.6916623827,1646.935147369735,19340253.215217046,7.94547247254253,0.0017158473209562804,0.3566561565767614,0.04803045783814186,0.35665615657676136
pozuelo-de-alarcon,100.0,1.5371031746031747,1.8772685185185185,14.0,30.0,17.790334814171683,4770.131816502085,30959,4.475432251819972,22.34421043002811,0.0563382275339276,0.0655924212437986,0.203130520232566,0.239843899942422,477013.1816502085,1779.0334814171683,29720439.596731026,8.256500890465327,0.002636766752338593,0.3323288050538273,0.04475432251819972,0.3323288050538273
pozuelo-de-alarcon,120.0,1.7465578505856283,2.3760696040868456,117.0,348.0,17.692764850094537,4777.169383600011,30959,4.444330128422997,22.500578739744405,0.0563382275339276,0.0655924212437986,0.203130520232566,0.239843899942422,573260.3260320014,2123.1317820113445,36765045.07551466,8.287422812543667,0.0032617568857901203,0.33001927808043824,0.044443301284229964,0.33001927808043824
puente-de-vallecas,30.0,1.2951851851851852,2.0122881355932205,15.0,59.0,33.08939223057644,3284.991564037727,98903,12.087480257600964,8.27302281938513,0.0625124672362077,0.0694262738613749,0.255804508224464,0.32877066115702497,98549.74692113181,992.6817669172933,648693.8631996402,3.990151844159289,5.7551450588874364e-05,0.8975709259115034,0.12087480257600962,0.8975709259115032
puente-de-vallecas,50.0,1.3025839793281655,2.399129746835443,43.0,158.0,20.28727696022834,3144.703815892291,98903,7.741502468131911,12.917389151737988,0.0625124672362077,0.0694262738613749,0.255804508224464,0.32877066115702497,157235.19079461455,1014.363848011417,2981015.3338484215,5.408129156696753,0.0002644726062991209,0.5748549234566813,0.07741502468131911,0.5748549234566813
puente-de-vallecas,80.0,1.3148148148148147,2.1182608695652174,45.0,230.0,17.574782800228444,2647.8783901783404,98903,7.96476886495293,12.555292149157799,0.0625124672362077,0.0694262738613749,0.255804508224464,0.32877066115702497,211830.27121426724,1405.9826240182756,3698137.9452753635,5.312622313981253,0.00032809498486477206,0.5914338482821057,0.0796476886495293,0.5914338482821057
puente-de-vallecas,100.0,1.3168803418803419,2.0034477124183008,13.0,85.0,11.924700969339941,2577.0278311164143,98903,5.552769353293612,18.00903182493709,0.0625124672362077,0.0694262738613749,0.255804508224464,0.32877066115702497,257702.78311164142,1192.4700969339942,15581498.987942846,6.568732157065187,0.0013823745220620518,0.41232781552422215,0.05552769353293612,0.41232781552422215
puente-de-vallecas,120.0,1.0918650793650795,1.8329945799457994,7.0,41.0,11.205849705849705,2371.6435557149016,98903,5.669915959595461,17.636945717116912,0.0625124672362077,0.0694262738613749,0.255804508224464,0.32877066115702497,284597.2266857882,1344.7019647019645,15809323.074540025,6.493562745783061,0.00140258684008535,0.42102668291799694,0.05669915959595461,0.4210266829179969
retiro,30.0,1.4982142857142857,1.6285714285714286,14.0,7.0,43.34367485307335,6989.184981684982,55620,7.441841925773246,13.437533475908852,0.06130179243331629,0.0778450105530087,0.22838281234650398,0.38153023447141104,209675.54945054944,1300.3102455922005,3326387.1342636147,5.82247555090816,0.0002951136362733299,0.5526032560510716,0.07441841925773246,0.5526032560510715
retiro,50.0,1.4559811827956988,2.0580128205128205,62.0,39.0,32.70573873347474,7605.589678142986,55620,5.160268715647093,19.37883577589236,0.06130179243331629,0.0778450105530087,0.22838281234650398,0.38153023447141104,380279.4839071493,1635.286936673737,20477955.76380666,7.221566622826131,0.0018167831178313013,0.38318219102306056,0.05160268715647093,0.3831821910230605
